iter	Passed	Remaining
646	1684	918
647	1686	915
648	1687	912
649	1689	909
650	1691	906
651	1693	903
652	1695	900
653	1697	897
654	1699	894
655	1700	891
656	1702	888
657	1704	885
658	1706	883
659	1708	880
660	1710	877
661	1712	874
662	1713	871
663	1715	868
664	1717	865
665	1719	862
666	1721	859
667	1723	856
668	1725	853
669	1728	851
670	1729	848
671	1731	845
672	1733	842
673	1735	839
674	1737	836
675	1739	833
676	1741	830
677	1743	828
678	1745	825
679	1747	822
680	1749	819
681	1750	816
682	1752	813
683	1754	810
684	1757	807
685	1761	806
686	1764	803
687	1766	800
688	1768	798
689	1770	795
690	1772	792
691	1774	789
692	1776	786
693	1778	784
694	1780	781
695	1781	778
696	1783	775
697	1785	772
698	1787	769
699	1789	766
700	1791	764
701	1793	761
702	1795	758
703	1797	755
704	1799	752
705	1801	750
706	1802	747
707	1804	744
708	1806	741
709	1808	738
710	1811	736
711	1812	733
712	1814	730
713	1816	727
714	1818	724
715	1820	722
716	1822	719
717	1824	716
718	1826	713
719	1828	711
720	1830	708
721	1832	705
722	1834	702
723	1836	699
724	1838	697
725	1839	694
726	1841	691
727	1843	688
728	1845	686
729	1847	683
730	1849	680
731	1851	677
732	1853	675
733	1855	672
734	1856	669
735	1859	666
736	1861	664
737	1863	661
738	1864	658
739	1866	655
740	1868	653
741	1870	650
742	1872	647
743	1874	644
744	1876	642
745	1878	639
746	1880	636
747	1885	635
748	1888	632
749	1890	630
750	1892	627
751	1894	624
752	1896	622
753	1898	619
754	1900	616
755	1902	614
756	1904	611
757	1906	608
758	1908	605
759	1910	603
760	1912	600
761	1913	597
762	1915	595
763	1917	592
764	1919	589
765	1921	587
766	1923	584
767	1925	581
768	1927	579
769	1929	576
770	1931	573
771	1933	570
772	1935	568
773	1936	565
774	1938	562
775	1940	560
776	1942	557
777	1944	554
778	1946	552
779	1948	549
780	1950	546
781	1952	544
782	1954	541
783	1955	538
784	1957	536
785	1959	533
786	1961	530
787	1963	528
788	1965	525
789	1967	522
790	1968	520
791	1970	517
792	1972	514
793	1974	512
794	1976	509
795	1978	507
796	1980	504
797	1982	501
798	1984	499
799	1986	496
800	1988	493
801	1990	491
802	1992	488
803	1994	486
804	1995	483
805	1997	480
806	1999	478
807	2001	475
808	2003	473
809	2005	470
810	2007	467
811	2012	465
812	2014	463
813	2016	460
814	2017	458
815	2019	455
816	2021	452
817	2023	450
818	2025	447
819	2027	445
820	2029	442
821	2031	439
822	2033	437
823	2035	434
824	2037	432
825	2039	429
826	2040	426
827	2042	424
828	2044	421
829	2046	419
830	2048	416
831	2050	414
832	2052	411
833	2054	408
834	2056	406
835	2058	403
836	2060	401
837	2062	398
838	2064	396
839	2065	393
840	2067	390
841	2069	388
842	2071	385
843	2073	383
844	2075	380
845	2077	378
846	2079	375
847	2081	373
848	2083	370
849	2085	367
850	2087	365
851	2089	362
852	2091	360
853	2093	357
854	2095	355
855	2097	352
856	2099	350
857	2100	347
858	2103	345
859	2104	342
860	2106	340
